dataset_id,dataset_name,provider_or_platform,domain,granularity,coverage,typical_use_cases,access_level,access_note,keywords,dsrs_fit_score
DS01,WRDS Core (Compustat/CRSP/IBES/etc.),WRDS,Finance & Accounting,Firm/Security,Varies by module (often long historical),"Firm fundamentals, stock returns, analyst forecasts, event studies, asset pricing, corporate finance",Restricted,Academic/research use; access via DSRS/DataHub; module-specific licensing restrictions,"wrds,compustat,crsp,ibes,returns,fundamentals,analyst,event study,asset pricing",5
DS02,Compustat (via WRDS),WRDS,Accounting,Firm,Global + North America (module-dependent),"Financial statements, ratios, earnings quality, accounting research, firm performance",Restricted,Academic/research use; access via DSRS/DataHub,"compustat,financial statements,ratios,earnings,accounting,research",5
DS03,CRSP (via WRDS),WRDS,Finance,Security/Market,US equities (module-dependent),"Stock returns, delisting, market indices, event studies, asset pricing",Restricted,Academic/research use; access via DSRS/DataHub,"crsp,returns,delisting,market index,event study,asset pricing",5
DS04,IBES Estimates (via WRDS),WRDS,Finance,Firm/Analyst,Global (module-dependent),"Analyst forecasts, earnings surprise, dispersion, market expectations research",Restricted,Academic/research use; access via DSRS/DataHub,"ibes,analyst forecasts,earnings surprise,dispersion,expectations",4
DS05,OptionMetrics (via WRDS),WRDS,Finance,Security/Option contract,US options (module-dependent),"Implied volatility, option pricing, risk-neutral measures, derivatives research",Restricted,Academic/research use; access via DSRS/DataHub,"options,implied volatility,derivatives,optionmetrics,volatility surface",4
DS06,Audit Analytics,Audit Analytics,Accounting,Firm/Filings,Primarily US public firms,"Audit opinions, restatements, SOX, internal controls, auditor changes",Restricted,Licensed dataset; access via DSRS/DataHub if available,"audit,restatement,sox,internal control,auditor,material weakness",4
DS07,BoardEx,BoardEx,Corporate Governance,Person/Firm,Global (varies by module),"Board networks, executive/board characteristics, governance research",Restricted,Licensed dataset; access via DSRS/DataHub if available,"board,executive,governance,network,biography,directors",4
DS08,S&P Capital IQ,S&P Capital IQ,Finance & Markets,Firm/Transaction,Global,"Company profiles, financials, ownership, deals, comps, screening",Restricted,Licensed platform; access may require DSRS-supported credentials,"capital iq,company profiles,ownership,transactions,deals,screening",5
DS09,PitchBook,PitchBook,Private Markets,Company/Deal/Investor,Global (strong US/EU coverage),"Venture capital, private equity, funding rounds, investor networks, startup research",Restricted,Licensed platform; access via DSRS/DataHub if available,"pitchbook,venture capital,private equity,funding rounds,startups,investors",4
DS10,NielsenIQ Retail Scanner (RMS),NielsenIQ,Marketing & Consumer,UPC/Store/Week,Retail outlets (varies by contract),"Pricing, promotions, demand estimation, category management, marketing analytics",Restricted,Licensed dataset; access via DSRS/DataHub if available,"nielsen,retail scanner,upc,price,promotion,demand,marketing",5
DS11,Nielsen Consumer Panel (Homescan),NielsenIQ,Marketing & Consumer,Household/Trip/Product,Panel households (varies by contract),"Household purchase behavior, brand choice, loyalty, marketing mix models",Restricted,Licensed dataset; access via DSRS/DataHub if available,"nielsen,consumer panel,household purchases,brand choice,loyalty,homescan",5
DS12,Gies Consumer Credit Panel (GCCP),Experian (via Gies/DSRS),Consumer Finance,Consumer/Account/Month,US consumers (2004–2022 per DataHub listing),"Credit risk, delinquency, debt dynamics, policy shocks, household finance research",Restricted,Highly sensitive; approved research only; access via DSRS/DataHub processes,"credit bureau,consumer credit,delinquency,debt,loan,account,panel,gccp",5
DS13,Bureau van Dijk Orbis / Historicals,Bureau van Dijk (BvD),Corporate & Private Firms,Firm,Global (including private firms),"Private firm financials, ownership structures, firm demographics, international comparisons",Restricted,Licensed dataset; access via DSRS/DataHub if available,"orbis,bvd,private firms,ownership,global companies,financials",4
DS14,Refinitiv Eikon / Datastream,Refinitiv,Finance & Markets,Market/Instrument,Global,"Market data, macro series, commodities, FX, rates, time-series research",Restricted,Licensed platform; access via DSRS/DataHub if available,"refinitiv,datastream,fx,rates,commodities,market data,time series",4
DS15,FactSet,FactSet,Finance & Markets,Firm/Security,Global,"Equity research datasets, ownership, fundamentals, market analytics, screening",Restricted,Licensed platform; access via DSRS/DataHub if available,"factset,ownership,fundamentals,screening,market analytics,equity research",4
DS16,SEC EDGAR Filings (10-K/10-Q) + XBRL,SEC,Text & Filings,Filing/Section,US public companies,"NLP on filings, risk disclosures, topic modeling, financial reporting research",Public,Public data; still follow data-handling best practices,"edgar,10-k,10-q,xbrl,filings,nlp,risk factors,disclosures",4
DS17,FRED Macroeconomic Series,Federal Reserve Bank of St. Louis,Macroeconomics,Time series,US + some international series,"Macro controls, policy shocks, time-series modeling, forecasting",Public,Public data; cite sources in research outputs,"fred,macroeconomics,unemployment,inflation,interest rates,time series",4
DS18,BLS Labor Market Data (CPS/LAUS),Bureau of Labor Statistics,Labor Economics,Time series/Geography,US national/state/local (varies by series),"Labor market indicators, unemployment rates, regional economic analysis",Public,Public data; cite sources in research outputs,"bls,laus,cps,unemployment,labor market,wages,regional",3
DS19,IPEDS Higher Education Data,NCES,Education & Admin,Institution/Year,US higher education institutions,"Institutional outcomes, enrollment trends, benchmarking, policy evaluation",Public,Public data; avoid publishing sensitive derived identifiers,"ipeds,enrollment,graduation rates,institutions,higher education,benchmarking",3
DS20,GDELT Global Events & News,GDELT,News & Events,Article/Event,Global (near real-time),"Media attention, event studies, geopolitical shocks, text analytics",Public,Public data; be mindful of API limits and reproducibility,"gdelt,news,events,media attention,text analytics,geopolitical,real time",3
